PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33442684","Immunogenicity of an AAV-based, room-temperature stable, single dose COVID-19 vaccine in mice and non-human primates","Zabaleta N, Dai W, Bhatt U, Chichester JA, Estelien R, Sanmiguel J, Michalson KT, Diop C, Maciorowski D, Qi W, Hudspeth E, Cucalon A, Dyer CD, Pampena MB, Knox JJ, LaRocque RC, Charles RC, Li D, Kim M, Sheridan A, Storm N, Johnson RI, Feldman J, Hauser BM, Ryan A, Kobayashi DT, Chauhan R, McGlynn M, Ryan ET, Schmidt AG, Price B, Honko A, Griffiths A, Yaghmour S, Hodge R, Betts MR, Freeman MW, Wilson JM, Vandenberghe LH.","bioRxiv. 2021 Jan 5:2021.01.05.422952. doi: 10.1101/2021.01.05.422952. Preprint.","Zabaleta N","bioRxiv","2021","2021/01/14","PMC7805441","","10.1101/2021.01.05.422952"
"33444817","Norovirus-Specific CD8(+) T Cell Responses in Human Blood and Tissues","Pattekar A, Mayer LS, Lau CW, Liu C, Palko O, Bewtra M, Consortium HPAP, Lindesmith LC, Brewer-Jensen PD, Baric RS, Betts MR, Naji A, Wherry EJ, Tomov VT.","Cell Mol Gastroenterol Hepatol. 2021 Jan 11:S2352-345X(20)30211-3. doi: 10.1016/j.jcmgh.2020.12.012. Online ahead of print.","Pattekar A","Cell Mol Gastroenterol Hepatol","2021","2021/01/14","","","10.1016/j.jcmgh.2020.12.012"
"33377048","Phenotypic Characterization of SLe(x)+ and CLA+ CD4+ T Cells","Kuri-Cervantes L, Pampena MB, Betts MR.","STAR Protoc. 2020 Oct 29;1(3):100154. doi: 10.1016/j.xpro.2020.100154. eCollection 2020 Dec 18.","Kuri-Cervantes L","STAR Protoc","2020","2020/12/30","PMC7757334","","10.1016/j.xpro.2020.100154"
"33306960","The Identity of Human Tissue-Emigrant CD8(+) T Cells","Buggert M, Vella LA, Nguyen S, Wu VH, Chen Z, Sekine T, Perez-Potti A, Maldini CR, Manne S, Darko S, Ransier A, Kuri-Cervantes L, Japp AS, Brody IB, Ivarsson MA, Gorin JB, Rivera-Ballesteros O, Hertwig L, Antel JP, Johnson ME, Okoye A, Picker L, Vahedi G, Sparrelid E, Llewellyn-Lacey S, Gostick E, Sandberg JK, Björkström N, Bar-Or A, Dori Y, Naji A, Canaday DH, Laufer TM, Wells AD, Price DA, Frank I, Douek DC, Wherry EJ, Itkin MG, Betts MR.","Cell. 2020 Dec 23;183(7):1946-1961.e15. doi: 10.1016/j.cell.2020.11.019. Epub 2020 Dec 10.","Buggert M","Cell","2020","2020/12/11","","","10.1016/j.cell.2020.11.019"
"32970634","Assessment of HIV-1 integration in tissues and subsets across infection stages","Wu VH, Nobles CL, Kuri-Cervantes L, McCormick K, Everett JK, Nguyen S, Del Rio Estrada PM, González-Navarro M, Torres-Ruiz F, Ávila-Ríos S, Reyes-Terán G, Bushman FD, Betts MR.","JCI Insight. 2020 Oct 15;5(20):e139783. doi: 10.1172/jci.insight.139783.","Wu VH","JCI Insight","2020","2020/09/24","PMC7605534","","10.1172/jci.insight.139783"
"32895573","Recommendations for measuring HIV reservoir size in cure-directed clinical trials","Abdel-Mohsen M, Richman D, Siliciano RF, Nussenzweig MC, Howell BJ, Martinez-Picado J, Chomont N, Bar KJ, Yu XG, Lichterfeld M, Alcami J, Hazuda D, Bushman F, Siliciano JD, Betts MR, Spivak AM, Planelles V, Hahn BH, Smith DM, Ho YC, Buzon MJ, Gaebler C, Paiardini M, Li Q, Estes JD, Hope TJ, Kostman J, Mounzer K, Caskey M, Fox L, Frank I, Riley JL, Tebas P, Montaner LJ; BEAT-HIV Delaney Collaboratory to Cure HIV-1 infection.","Nat Med. 2020 Sep;26(9):1339-1350. doi: 10.1038/s41591-020-1022-1. Epub 2020 Sep 7.","Abdel-Mohsen M","Nat Med","2020","2020/09/08","PMC7703694","NIHMS1647002","10.1038/s41591-020-1022-1"
"32827942","Interferon-α alters host glycosylation machinery during treated HIV infection","Giron LB, Colomb F, Papasavvas E, Azzoni L, Yin X, Fair M, Anzurez A, Damra M, Mounzer K, Kostman JR, Tebas P, O'Doherty U, Tateno H, Liu Q, Betts MR, Montaner LJ, Abdel-Mohsen M.","EBioMedicine. 2020 Sep;59:102945. doi: 10.1016/j.ebiom.2020.102945. Epub 2020 Aug 19.","Giron LB","EBioMedicine","2020","2020/08/23","PMC7452630","","10.1016/j.ebiom.2020.102945"
"32755584","Sialyl-Lewis(X) Glycoantigen Is Enriched on Cells with Persistent HIV Transcription during Therapy","Colomb F, Giron LB, Kuri-Cervantes L, Adeniji OS, Ma T, Dweep H, Battivelli E, Verdin E, Palmer CS, Tateno H, Kossenkov AV, Roan NR, Betts MR, Abdel-Mohsen M.","Cell Rep. 2020 Aug 4;32(5):107991. doi: 10.1016/j.celrep.2020.107991.","Colomb F","Cell Rep","2020","2020/08/07","PMC7432956","NIHMS1617875","10.1016/j.celrep.2020.107991"
"32669339","Regional Brain Recovery from Acute Synaptic Injury in Simian Immunodeficiency Virus-Infected Rhesus Macaques Associates with Heme Oxygenase Isoform Expression","Garcia-Mesa Y, Garza R, Diaz Ortiz ME, Gruenewald AL, Bastien BL, Lobrovich R, Irwin DJ, Betts MR, Silvestri G, Kolson DL.","J Virol. 2020 Sep 15;94(19):e01102-20. doi: 10.1128/JVI.01102-20. Print 2020 Sep 15.","Garcia-Mesa Y","J Virol","2020","2020/07/17","PMC7495379","","10.1128/JVI.01102-20"
"32669297","Deep immune profiling of COVID-19 patients reveals distinct immunotypes with therapeutic implications","Mathew D, Giles JR, Baxter AE, Oldridge DA, Greenplate AR, Wu JE, Alanio C, Kuri-Cervantes L, Pampena MB, D'Andrea K, Manne S, Chen Z, Huang YJ, Reilly JP, Weisman AR, Ittner CAG, Kuthuru O, Dougherty J, Nzingha K, Han N, Kim J, Pattekar A, Goodwin EC, Anderson EM, Weirick ME, Gouma S, Arevalo CP, Bolton MJ, Chen F, Lacey SF, Ramage H, Cherry S, Hensley SE, Apostolidis SA, Huang AC, Vella LA; UPenn COVID Processing Unit, Betts MR, Meyer NJ, Wherry EJ.","Science. 2020 Sep 4;369(6508):eabc8511. doi: 10.1126/science.abc8511. Epub 2020 Jul 15.","Mathew D","Science","2020","2020/07/17","PMC7402624","","10.1126/science.abc8511"
